00:00-01:00	86475	101218	98920	100165	97001	111217	116374	248878	129562	127984	100717	118224	107005	93039	
01:00-02:00	112271	116617	104663	128411	124705	122744	132385	135186	153853	147499	113517	141867	142448	120494	
02:00-03:00	321795	325340	331037	319311	342006	310099	319161	333039	343515	331078	342960	341925	327350	316087	
03:00-04:00	560089	547017	579331	547860	542528	531158	558239	549211	562435	550262	579913	572424	558725	559839	
04:00-05:00	581718	566182	586730	553807	554456	539102	557846	532988	574350	560353	581626	568724	552616	551908	
05:00-06:00	222007	466730	471293	573752	518597	488978	482197	321054	463947	518671	487678	534577	341929	308057	
06:00-07:00	94914	93277	94492	162200	109138	93462	103953	80196	107206	117147	127810	129108	102743	87803	
07:00-08:00	93740	90711	98730	100115	120380	94778	114178	117733	99741	120450	131461	131017	114965	93983	
08:00-09:00	132776	115608	122219	125919	146130	104712	123329	144406	126727	147338	148888	142684	128692	120265	
09:00-10:00	161439	158922	148886	154275	134738	122322	158044	175499	159333	172029	163515	154416	139165	150271	
10:00-11:00	198116	192074	182601	190383	154205	138417	202756	201731	189846	201534	179613	155062	151752	171218	
11:00-12:00	176508	181219	172506	181898	158586	135413	201854	202740	190052	198408	166875	159847	153595	175879	
12:00-13:00	148793	174873	135334	183714	149652	136125	206657	187373	209037	176994	177413	142908	148792	183354	
13:00-14:00	165758	226089	150348	236332	144236	146663	204317	195130	234473	185596	200822	142618	155007	211943	
14:00-15:00	173022	169614	160309	168721	136747	133617	200745	69397	231803	196924	189939	148193	158555	203467	
15:00-16:00	191349	197662	181643	185659	147038	146539	203651	140863	203281	197135	185013	153639	155296	184489	
16:00-17:00	209301	202074	193985	177759	157325	161870	216273	234106	219580	195819	189003	182735	174673	217723	
17:00-18:00	185211	168820	156065	146511	147766	147994	180734	195001	200752	183622	163314	182195	165169	178068	
18:00-19:00	133900	138619	163239	174000	172798	184588	187166	212878	174258	213980	188958	195610	183489	191568	
19:00-20:00	147660	150316	170452	178877	164368	190908	192702	228287	175764	197396	192446	176167	182633	192873	
20:00-21:00	171640	164105	181194	185417	177262	200495	212475	224109	222025	202351	198598	181493	188588	200883	
21:00-22:00	187237	188156	162917	151434	152693	162922	193255	184449	220637	192760	167520	176908	174334	187288	
22:00-23:00	210626	213351	176552	172767	175165	175711	199759	214689	236592	193140	176475	180758	174328	185297	
23:00-00:00	148141	232119	151018	152529	162241	160726	175761	177623	182831	152233	163646	154778	146119	164835	
